rankdate,Mkt,LLTG_RET,HLTG_RET,LLTG_error,HLTG_error
198909,-0.001473,0.00726337813218954,0.0251245408848631,-0.149900191612963,-0.265201820466343
198910,-0.029285,-0.00177589838505321,0.000508446332921799,-0.150361069690462,-0.279804749007027
198911,0.017816,0.0183635808458606,0.0134284923720195,-0.155783757953596,-0.262017536370601
198912,0.018294,0.0388247856312098,-0.0127406153560487,-0.118281379451576,-0.256711752621337
199001,-0.070114,-0.058467407667645,-0.0769089676485762,-0.122752590362139,-0.249799355124476
199002,0.0149,0.0127321851530386,0.0161884227520457,-0.0626159661732685,-0.229066406055354
199003,0.024148,0.0146528853460894,0.062572630470707,-0.0338902768840021,-0.228622387638726
199004,-0.028283,-0.0406989895415797,0.0029296842657718,-0.0773914252740357,-0.220860290559058
199005,0.088935,0.0678247817177631,0.131548507462961,-0.0860482384877914,-0.21373418549684
199006,-0.004193,-0.0143712731986131,0.0303370416326614,-0.0662489608072427,-0.208349734493496
199007,-0.009392,-0.00102165885981945,-0.0217904488850927,-0.0495783771012792,-0.210689588466687
199008,-0.091903,-0.0947297584344193,-0.0911864444335939,-0.0619471249904716,-0.190308862804126
199009,-0.053844,-0.0134729446661246,-0.0638458656848036,-0.0621501956283903,-0.191131939892794
199010,-0.012499,0.0548254362142655,-0.0175855999376028,-0.0599772350441237,-0.219573443703559
199011,0.065742,0.0173552921645006,0.066319865653415,-0.0499706756822747,-0.217406842670905
199012,0.029511,0.0117731722356061,0.0316584319232779,-0.0388099964604496,-0.207492442120243
199101,0.049083,0.0140820196727881,0.075951547892865,-0.049758572642241,-0.214392844149177
199102,0.075848,0.0539551176286821,0.102350943773238,0.00289190586080909,-0.23225666202725
199103,0.028922,0.0153065205964253,0.0210602311657853,-0.00118580828417523,-0.220060377861789
199104,0.003311,-0.0160523421470967,-0.0040742805405494,-0.00848286037743556,-0.185002850152645
199105,0.040737,0.0266847619297804,0.0525562241320144,-0.0082538279695988,-0.186164250578383
199106,-0.044024,-0.0142976918191962,-0.0547986231064266,-0.00151393095121395,-0.1979675173258
199107,0.046779,0.0282953227230482,0.0842663161287396,-0.00149830595121395,-0.198732299869164
199108,0.026807,0.00923667589742388,0.0466749507419009,-0.00033750347595387,-0.207468968547492
199109,-0.010979,0.0168131426759821,-0.0352403452833135,-0.00306145403560313,-0.200009457845488
199110,0.017847,0.00992166162219191,0.00616376799912096,0.00182931651256116,-0.197747741399944
199111,-0.037291,-0.0218117170272858,-0.0113967671709779,0.00506752097691025,-0.188465670103426
199112,0.106782,0.0649127379724004,0.16397309227207,0.00557035219270584,-0.192765209688006
199201,-0.001164,-0.0172697977221757,-0.0350666546799473,0.035783979584726,-0.184107463899763
199202,0.013355,0.005988639734939,0.00614677897401282,-0.00754052315880163,-0.176682226924434
199203,-0.023699,-0.0130186313642918,-0.0346314942258168,-0.0130287870686329,-0.15177814362881
199204,0.013414,0.0740127863070198,-0.00265177752390349,-0.0131275335366771,-0.212513340267005
199205,0.006407,-0.00880729150975247,0.0163635837181547,-0.0286129610155519,-0.206770659427003
199206,-0.019258,0.0314738208457077,-0.026371824010177,-0.0270069004094913,-0.195738781555642
199207,0.0399,0.0524151986980877,0.0578130910639181,-0.0208624929806353,-0.17519442945315
199208,-0.020819,-0.035618390942699,-0.00130101985825578,-0.00944447990057359,-0.184083713317502
199209,0.012461,-0.000104916859022532,0.00742798804462417,0.00471897000759479,-0.176997125730371
199210,0.010983,-0.00519769343972404,0.00766201437234879,0.00446897000759479,-0.179009465123215
199211,0.040181,0.0128646875183637,0.0407767699291975,-0.00325905269108476,-0.174927280147354
199212,0.01774,0.0403496515318763,0.00328437401404643,0.00512922109438417,-0.133754102256429
199301,0.012616,0.0479412372515687,-0.00358518819678759,-0.00662886853714903,-0.137153910243663
199302,0.005425,0.0522789550662866,-0.0418675843124641,-0.0646915826881092,-0.150606681979071
199303,0.025089,0.0228744053272405,0.00533102561228632,-0.0619717356033043,-0.160865197907231
199304,-0.025391,0.00353300145957302,-0.10883948439508,-0.0450723954301739,-0.165234323856036
199305,0.029572,-0.000394143881061644,0.0540759336465836,-0.0622384147808346,-0.152274327416419
199306,0.005434,0.0495081208506236,-0.0222777975238535,-0.0557368401082886,-0.138727799641757
199307,-0.000806,0.0155735618066098,-0.0300595015956876,-0.0537577233647947,-0.142742513552147
